"date","num_accidents","num_injuries","num_deaths"
2014-01-01,399,165,2
2014-01-02,603,121,3
2014-01-03,423,46,0
2014-01-04,418,91,0
2014-01-05,320,63,1
2014-01-06,517,111,1
2014-01-07,491,119,0
2014-01-08,616,155,0
2014-01-09,561,100,0
2014-01-10,667,191,3
2014-01-11,465,157,2
2014-01-12,388,96,1
2014-01-13,567,164,0
2014-01-14,558,186,0
2014-01-15,583,118,0
2014-01-16,521,141,0
2014-01-17,589,139,1
2014-01-18,448,130,2
2014-01-19,380,134,2
2014-01-20,360,72,1
2014-01-21,1161,168,0
2014-01-22,498,76,0
2014-01-23,611,113,0
2014-01-24,704,166,0
2014-01-25,475,110,1
2014-01-26,465,129,1
2014-01-27,511,104,0
2014-01-28,504,125,0
2014-01-29,649,167,0
2014-01-30,657,157,0
2014-01-31,560,106,2
2014-02-01,507,150,0
2014-02-02,417,114,1
2014-02-03,960,159,2
2014-02-04,612,130,0
2014-02-05,468,53,0
2014-02-06,569,92,0
2014-02-07,674,116,1
2014-02-08,424,74,0
2014-02-09,450,87,1
2014-02-10,677,143,0
2014-02-11,636,110,1
2014-02-12,640,112,1
2014-02-13,447,86,1
2014-02-14,791,115,0
2014-02-15,516,79,0
2014-02-16,464,72,0
2014-02-17,491,94,0
2014-02-18,518,111,2
2014-02-19,552,110,0
2014-02-20,556,90,1
2014-02-21,545,120,0
2014-02-22,587,140,0
2014-02-23,412,141,2
2014-02-24,568,121,0
2014-02-25,512,93,0
2014-02-26,511,114,0
2014-02-27,570,128,0
2014-02-28,655,152,0
2014-03-01,497,144,1
2014-03-02,344,74,0
2014-03-03,439,93,0
2014-03-04,530,110,1
2014-03-05,490,116,1
2014-03-06,558,122,1
2014-03-07,533,108,1
2014-03-08,515,139,0
2014-03-09,404,112,1
2014-03-10,513,147,0
2014-03-11,509,119,0
2014-03-12,515,114,0
2014-03-13,545,110,0
2014-03-14,584,135,0
2014-03-15,519,120,1
2014-03-16,412,100,1
2014-03-17,519,127,0
2014-03-18,551,121,1
2014-03-19,525,128,1
2014-03-20,627,134,0
2014-03-21,589,165,2
2014-03-22,493,124,0
2014-03-23,426,126,1
2014-03-24,545,125,1
2014-03-25,474,115,1
2014-03-26,563,130,0
2014-03-27,538,133,2
2014-03-28,530,124,1
2014-03-29,569,181,0
2014-03-30,437,125,0
2014-03-31,558,132,0
2014-04-01,549,102,0
2014-04-02,518,130,2
2014-04-03,592,125,1
2014-04-04,622,130,5
2014-04-05,579,150,1
2014-04-06,484,132,0
2014-04-07,532,156,0
2014-04-08,606,130,1
2014-04-09,595,150,1
2014-04-10,644,150,1
2014-04-11,607,136,0
2014-04-12,578,180,0
2014-04-13,482,146,0
2014-04-14,510,164,1
2014-04-15,451,117,0
2014-04-16,570,149,1
2014-04-17,508,97,1
2014-04-18,496,97,0
2014-04-19,525,150,0
2014-04-20,393,108,0
2014-04-21,520,111,1
2014-04-22,459,119,0
2014-04-23,536,117,1
2014-04-24,586,138,0
2014-04-25,617,142,0
2014-04-26,547,128,2
2014-04-27,449,164,0
2014-04-28,597,147,1
2014-04-29,555,117,0
2014-04-30,651,166,2
2014-05-01,650,171,1
2014-05-02,698,162,0
2014-05-03,590,153,1
2014-05-04,451,139,1
2014-05-05,618,159,1
2014-05-06,565,148,1
2014-05-07,603,154,0
2014-05-08,596,131,1
2014-05-09,584,123,0
2014-05-10,549,153,1
2014-05-11,584,165,2
2014-05-12,581,150,1
2014-05-13,560,128,1
2014-05-14,636,172,1
2014-05-15,659,176,0
2014-05-16,700,159,1
2014-05-17,618,142,0
2014-05-18,507,143,0
2014-05-19,572,151,3
2014-05-20,650,179,0
2014-05-21,575,117,3
2014-05-22,593,127,1
2014-05-23,660,185,1
2014-05-24,486,148,1
2014-05-25,472,147,1
2014-05-26,433,130,1
2014-05-27,645,162,1
2014-05-28,538,82,0
2014-05-29,662,185,0
2014-05-30,650,164,0
2014-05-31,587,153,1
2014-06-01,603,187,0
2014-06-02,643,164,3
2014-06-03,663,131,0
2014-06-04,582,136,1
2014-06-05,569,132,2
2014-06-06,743,196,1
2014-06-07,622,192,1
2014-06-08,516,204,0
2014-06-09,528,140,1
2014-06-10,569,124,2
2014-06-11,576,143,0
2014-06-12,561,158,0
2014-06-13,708,190,3
2014-06-14,611,134,0
2014-06-15,475,180,1
2014-06-16,622,179,0
2014-06-17,666,190,0
2014-06-18,663,150,0
2014-06-19,674,164,0
2014-06-20,765,211,2
2014-06-21,557,174,1
2014-06-22,477,144,0
2014-06-23,643,156,0
2014-06-24,632,150,0
2014-06-25,645,175,2
2014-06-26,670,195,0
2014-06-27,660,158,0
2014-06-28,610,197,1
2014-06-29,537,167,1
2014-06-30,609,164,0
2014-07-01,616,149,0
2014-07-02,658,155,3
2014-07-03,740,203,1
2014-07-04,360,118,1
2014-07-05,505,219,1
2014-07-06,450,148,1
2014-07-07,613,169,0
2014-07-08,593,140,0
2014-07-09,569,112,2
2014-07-10,584,136,1
2014-07-11,641,178,0
2014-07-12,550,137,0
2014-07-13,439,147,1
2014-07-14,561,143,3
2014-07-15,587,138,0
2014-07-16,551,137,0
2014-07-17,587,124,0
2014-07-18,624,156,2
2014-07-19,480,154,0
2014-07-20,451,125,2
2014-07-21,557,130,0
2014-07-22,587,154,0
2014-07-23,591,130,1
2014-07-24,539,148,2
2014-07-25,652,178,2
2014-07-26,534,148,0
2014-07-27,475,167,3
2014-07-28,595,151,1
2014-07-29,526,124,1
2014-07-30,605,147,0
2014-07-31,626,138,1
2014-08-01,667,168,3
2014-08-02,540,146,2
2014-08-03,476,122,0
