"date","num_felonies"
2014-01-01,452
2014-01-02,258
2014-01-03,211
2014-01-04,215
2014-01-05,201
2014-01-06,296
2014-01-07,240
2014-01-08,297
2014-01-09,296
2014-01-10,332
2014-01-11,323
2014-01-12,283
2014-01-13,303
2014-01-14,323
2014-01-15,322
2014-01-16,312
2014-01-17,322
2014-01-18,300
2014-01-19,272
2014-01-20,274
2014-01-21,261
2014-01-22,201
2014-01-23,233
2014-01-24,260
2014-01-25,273
2014-01-26,238
2014-01-27,259
2014-01-28,261
2014-01-29,280
2014-01-30,291
2014-01-31,334
2014-02-01,345
2014-02-02,296
2014-02-03,248
2014-02-04,240
2014-02-05,239
2014-02-06,245
2014-02-07,274
2014-02-08,283
2014-02-09,239
2014-02-10,285
2014-02-11,260
2014-02-12,267
2014-02-13,189
2014-02-14,273
2014-02-15,285
2014-02-16,254
2014-02-17,249
2014-02-18,238
2014-02-19,233
2014-02-20,265
2014-02-21,273
2014-02-22,298
2014-02-23,253
2014-02-24,277
2014-02-25,267
2014-02-26,247
2014-02-27,217
2014-02-28,282
2014-03-01,283
2014-03-02,251
2014-03-03,247
2014-03-04,209
2014-03-05,239
2014-03-06,283
2014-03-07,272
2014-03-08,285
2014-03-09,267
2014-03-10,260
2014-03-11,250
2014-03-12,257
2014-03-13,256
2014-03-14,252
2014-03-15,307
2014-03-16,246
2014-03-17,241
2014-03-18,262
2014-03-19,254
2014-03-20,298
2014-03-21,289
2014-03-22,289
2014-03-23,269
2014-03-24,262
2014-03-25,262
2014-03-26,239
2014-03-27,269
2014-03-28,290
2014-03-29,262
2014-03-30,193
2014-03-31,240
2014-04-01,316
2014-04-02,287
2014-04-03,254
2014-04-04,290
2014-04-05,282
2014-04-06,249
2014-04-07,263
2014-04-08,257
2014-04-09,272
2014-04-10,263
2014-04-11,283
2014-04-12,318
2014-04-13,265
2014-04-14,303
2014-04-15,235
2014-04-16,237
2014-04-17,245
2014-04-18,289
2014-04-19,242
2014-04-20,263
2014-04-21,272
2014-04-22,248
2014-04-23,274
2014-04-24,265
2014-04-25,297
2014-04-26,285
2014-04-27,262
2014-04-28,277
2014-04-29,240
2014-04-30,249
2014-05-01,317
2014-05-02,322
2014-05-03,279
2014-05-04,271
2014-05-05,277
2014-05-06,310
2014-05-07,255
2014-05-08,278
2014-05-09,306
2014-05-10,313
2014-05-11,281
2014-05-12,302
2014-05-13,279
2014-05-14,285
2014-05-15,268
2014-05-16,331
2014-05-17,276
2014-05-18,288
2014-05-19,282
2014-05-20,278
2014-05-21,337
2014-05-22,282
2014-05-23,322
2014-05-24,280
2014-05-25,289
2014-05-26,306
2014-05-27,328
2014-05-28,282
2014-05-29,279
2014-05-30,316
2014-05-31,273
2014-06-01,354
2014-06-02,341
2014-06-03,320
2014-06-04,280
2014-06-05,252
2014-06-06,325
2014-06-07,303
2014-06-08,282
2014-06-09,338
2014-06-10,287
2014-06-11,317
2014-06-12,325
2014-06-13,308
2014-06-14,295
2014-06-15,307
2014-06-16,330
2014-06-17,326
2014-06-18,317
2014-06-19,286
2014-06-20,346
2014-06-21,308
2014-06-22,258
2014-06-23,316
2014-06-24,273
2014-06-25,302
2014-06-26,308
2014-06-27,351
2014-06-28,314
2014-06-29,322
2014-06-30,313
2014-07-01,379
2014-07-02,302
2014-07-03,302
2014-07-04,296
2014-07-05,313
2014-07-06,310
2014-07-07,358
2014-07-08,322
2014-07-09,279
2014-07-10,334
2014-07-11,291
2014-07-12,338
2014-07-13,302
2014-07-14,363
2014-07-15,307
2014-07-16,288
2014-07-17,287
2014-07-18,333
2014-07-19,321
2014-07-20,312
2014-07-21,329
2014-07-22,304
2014-07-23,323
2014-07-24,304
2014-07-25,352
2014-07-26,306
2014-07-27,341
2014-07-28,327
2014-07-29,318
2014-07-30,288
2014-07-31,350
2014-08-01,372
2014-08-02,337
2014-08-03,288
2014-08-04,325
2014-08-05,278
2014-08-06,306
2014-08-07,287
2014-08-08,341
2014-08-09,294
2014-08-10,326
2014-08-11,317
2014-08-12,291
2014-08-13,276
2014-08-14,300
2014-08-15,345
2014-08-16,364
2014-08-17,316
2014-08-18,319
2014-08-19,285
2014-08-20,309
2014-08-21,316
2014-08-22,342
2014-08-23,319
2014-08-24,328
2014-08-25,276
2014-08-26,310
2014-08-27,320
2014-08-28,327
2014-08-29,356
2014-08-30,324
2014-08-31,314
2014-09-01,360
2014-09-02,324
2014-09-03,318
2014-09-04,307
2014-09-05,326
2014-09-06,332
2014-09-07,305
2014-09-08,316
2014-09-09,278
2014-09-10,290
2014-09-11,291
2014-09-12,304
2014-09-13,306
2014-09-14,266
2014-09-15,334
2014-09-16,285
2014-09-17,293
2014-09-18,301
2014-09-19,318
2014-09-20,359
2014-09-21,291
2014-09-22,301
2014-09-23,296
2014-09-24,295
2014-09-25,304
2014-09-26,306
2014-09-27,345
2014-09-28,304
2014-09-29,292
2014-09-30,314
2014-10-01,361
2014-10-02,327
2014-10-03,327
2014-10-04,321
2014-10-05,274
2014-10-06,290
2014-10-07,293
2014-10-08,288
2014-10-09,284
2014-10-10,342
2014-10-11,309
2014-10-12,314
2014-10-13,267
2014-10-14,342
2014-10-15,362
2014-10-16,304
2014-10-17,365
2014-10-18,324
2014-10-19,306
2014-10-20,325
2014-10-21,320
2014-10-22,299
2014-10-23,279
2014-10-24,331
2014-10-25,330
2014-10-26,295
2014-10-27,331
2014-10-28,292
2014-10-29,313
2014-10-30,313
2014-10-31,338
2014-11-01,410
2014-11-02,248
2014-11-03,285
2014-11-04,283
2014-11-05,333
2014-11-06,287
2014-11-07,353
2014-11-08,305
2014-11-09,272
2014-11-10,284
2014-11-11,277
2014-11-12,303
2014-11-13,264
2014-11-14,286
2014-11-15,282
2014-11-16,283
2014-11-17,277
2014-11-18,260
2014-11-19,247
2014-11-20,272
2014-11-21,293
2014-11-22,303
2014-11-23,278
2014-11-24,320
2014-11-25,316
2014-11-26,303
2014-11-27,201
2014-11-28,307
2014-11-29,243
2014-11-30,267
2014-12-01,365
2014-12-02,265
2014-12-03,262
2014-12-04,271
2014-12-05,298
2014-12-06,282
2014-12-07,270
2014-12-08,260
2014-12-09,290
2014-12-10,283
2014-12-11,283
2014-12-12,302
2014-12-13,308
2014-12-14,304
2014-12-15,305
2014-12-16,290
2014-12-17,305
2014-12-18,286
2014-12-19,328
2014-12-20,349
2014-12-21,297
2014-12-22,304
2014-12-23,317
2014-12-24,298
2014-12-25,221
2014-12-26,221
2014-12-27,277
2014-12-28,239
2014-12-29,302
2014-12-30,269
2014-12-31,256
2015-01-01,389
2015-01-02,257
2015-01-03,263
2015-01-04,227
2015-01-05,275
2015-01-06,223
2015-01-07,226
2015-01-08,220
2015-01-09,235
2015-01-10,227
2015-01-11,256
2015-01-12,286
2015-01-13,242
2015-01-14,254
2015-01-15,309
2015-01-16,322
2015-01-17,264
2015-01-18,226
2015-01-19,225
2015-01-20,293
2015-01-21,263
2015-01-22,266
2015-01-23,257
2015-01-24,272
2015-01-25,234
2015-01-26,280
2015-01-27,171
2015-01-28,206
2015-01-29,215
2015-01-30,242
2015-01-31,215
2015-02-01,239
2015-02-02,233
2015-02-03,201
2015-02-04,213
2015-02-05,237
2015-02-06,275
2015-02-07,228
2015-02-08,219
2015-02-09,224
2015-02-10,207
2015-02-11,230
2015-02-12,237
2015-02-13,260
2015-02-14,278
2015-02-15,224
2015-02-16,177
2015-02-17,202
2015-02-18,236
2015-02-19,238
2015-02-20,228
2015-02-21,252
2015-02-22,204
2015-02-23,237
2015-02-24,209
2015-02-25,265
2015-02-26,247
2015-02-27,235
2015-02-28,252
2015-03-01,277
2015-03-02,243
2015-03-03,252
2015-03-04,236
2015-03-05,216
2015-03-06,235
2015-03-07,247
2015-03-08,216
2015-03-09,263
2015-03-10,259
2015-03-11,254
2015-03-12,226
2015-03-13,271
2015-03-14,280
2015-03-15,238
2015-03-16,255
2015-03-17,259
2015-03-18,239
2015-03-19,253
2015-03-20,267
2015-03-21,224
2015-03-22,226
2015-03-23,228
2015-03-24,237
2015-03-25,221
2015-03-26,200
2015-03-27,255
2015-03-28,282
2015-03-29,243
2015-03-30,251
2015-03-31,278
2015-04-01,291
2015-04-02,260
2015-04-03,279
2015-04-04,247
2015-04-05,227
2015-04-06,260
2015-04-07,232
2015-04-08,219
2015-04-09,244
2015-04-10,234
2015-04-11,276
2015-04-12,265
2015-04-13,267
2015-04-14,244
2015-04-15,294
2015-04-16,263
2015-04-17,293
2015-04-18,306
2015-04-19,295
2015-04-20,241
2015-04-21,283
2015-04-22,277
2015-04-23,254
2015-04-24,287
2015-04-25,273
2015-04-26,244
2015-04-27,275
2015-04-28,284
2015-04-29,307
2015-04-30,285
2015-05-01,354
2015-05-02,281
2015-05-03,277
2015-05-04,273
2015-05-05,287
2015-05-06,275
2015-05-07,256
2015-05-08,330
2015-05-09,281
2015-05-10,294
2015-05-11,302
2015-05-12,282
2015-05-13,329
2015-05-14,293
2015-05-15,288
2015-05-16,261
2015-05-17,269
2015-05-18,319
2015-05-19,258
2015-05-20,281
2015-05-21,287
2015-05-22,288
2015-05-23,286
2015-05-24,277
2015-05-25,258
2015-05-26,310
2015-05-27,297
2015-05-28,325
2015-05-29,333
2015-05-30,312
2015-05-31,275
2015-06-01,321
2015-06-02,261
2015-06-03,242
2015-06-04,288
2015-06-05,277
2015-06-06,301
2015-06-07,248
2015-06-08,280
2015-06-09,293
2015-06-10,308
2015-06-11,294
2015-06-12,265
2015-06-13,275
2015-06-14,271
2015-06-15,293
2015-06-16,275
2015-06-17,288
2015-06-18,289
2015-06-19,310
2015-06-20,295
2015-06-21,289
2015-06-22,304
2015-06-23,305
2015-06-24,285
2015-06-25,276
2015-06-26,324
2015-06-27,303
2015-06-28,246
2015-06-29,297
2015-06-30,311
2015-07-01,331
2015-07-02,282
2015-07-03,331
2015-07-04,262
2015-07-05,291
2015-07-06,260
2015-07-07,309
2015-07-08,276
2015-07-09,301
2015-07-10,273
2015-07-11,315
2015-07-12,336
2015-07-13,313
2015-07-14,281
2015-07-15,307
2015-07-16,313
2015-07-17,332
2015-07-18,296
2015-07-19,317
2015-07-20,312
2015-07-21,295
2015-07-22,323
2015-07-23,328
2015-07-24,329
2015-07-25,332
2015-07-26,330
2015-07-27,333
2015-07-28,321
2015-07-29,342
2015-07-30,315
2015-07-31,377
2015-08-01,366
2015-08-02,329
2015-08-03,322
2015-08-04,314
2015-08-05,335
2015-08-06,293
2015-08-07,348
2015-08-08,344
2015-08-09,283
2015-08-10,320
2015-08-11,284
2015-08-12,303
2015-08-13,363
2015-08-14,342
2015-08-15,328
2015-08-16,313
2015-08-17,282
2015-08-18,298
2015-08-19,328
2015-08-20,301
2015-08-21,350
2015-08-22,331
2015-08-23,353
2015-08-24,340
2015-08-25,308
2015-08-26,340
2015-08-27,304
2015-08-28,334
2015-08-29,326
2015-08-30,316
2015-08-31,291
2015-09-01,330
2015-09-02,284
2015-09-03,331
2015-09-04,362
2015-09-05,317
2015-09-06,278
2015-09-07,299
2015-09-08,309
2015-09-09,292
2015-09-10,298
2015-09-11,341
2015-09-12,338
2015-09-13,317
2015-09-14,294
2015-09-15,307
2015-09-16,283
2015-09-17,298
2015-09-18,343
2015-09-19,372
2015-09-20,345
2015-09-21,326
2015-09-22,305
2015-09-23,310
2015-09-24,272
2015-09-25,301
2015-09-26,278
2015-09-27,293
2015-09-28,328
2015-09-29,295
2015-09-30,282
2015-10-01,369
2015-10-02,295
2015-10-03,255
2015-10-04,290
2015-10-05,310
2015-10-06,293
2015-10-07,293
2015-10-08,288
2015-10-09,343
2015-10-10,317
2015-10-11,306
2015-10-12,296
2015-10-13,293
2015-10-14,299
2015-10-15,296
2015-10-16,314
2015-10-17,292
2015-10-18,269
2015-10-19,309
2015-10-20,293
2015-10-21,308
2015-10-22,324
2015-10-23,319
2015-10-24,254
2015-10-25,299
2015-10-26,276
2015-10-27,283
2015-10-28,271
2015-10-29,291
2015-10-30,313
2015-10-31,320
2015-11-01,365
2015-11-02,274
2015-11-03,284
2015-11-04,297
2015-11-05,303
2015-11-06,309
2015-11-07,323
2015-11-08,300
2015-11-09,274
2015-11-10,289
2015-11-11,236
2015-11-12,284
2015-11-13,312
2015-11-14,277
2015-11-15,230
2015-11-16,314
2015-11-17,304
2015-11-18,267
2015-11-19,277
2015-11-20,307
2015-11-21,294
2015-11-22,272
2015-11-23,265
2015-11-24,274
2015-11-25,287
2015-11-26,276
2015-11-27,268
2015-11-28,290
2015-11-29,249
2015-11-30,263
2015-12-01,270
2015-12-02,298
2015-12-03,236
2015-12-04,292
2015-12-05,267
2015-12-06,256
2015-12-07,284
2015-12-08,269
2015-12-09,258
2015-12-10,271
2015-12-11,310
2015-12-12,327
2015-12-13,341
2015-12-14,276
2015-12-15,294
2015-12-16,272
2015-12-17,251
2015-12-18,306
2015-12-19,299
2015-12-20,256
2015-12-21,265
2015-12-22,268
2015-12-23,246
2015-12-24,256
2015-12-25,249
2015-12-26,224
2015-12-27,254
2015-12-28,218
2015-12-29,207
2015-12-30,222
2015-12-31,209
2016-01-01,31
