"date","offense","num_felonies"
2014-01-01,"BURGLARY",46
2014-01-01,"FELONY ASSAULT",129
2014-01-01,"GRAND LARCENY",184
2014-01-01,"GRAND LARCENY OF MOTOR VEHICLE",21
2014-01-01,"MURDER & NON-NEGL. MANSLAUGHTE",2
2014-01-01,"RAPE",19
2014-01-01,"ROBBERY",51
2014-01-02,"BURGLARY",59
2014-01-02,"FELONY ASSAULT",47
2014-01-02,"GRAND LARCENY",93
2014-01-02,"GRAND LARCENY OF MOTOR VEHICLE",14
2014-01-02,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-02,"RAPE",4
2014-01-02,"ROBBERY",40
2014-01-03,"BURGLARY",25
2014-01-03,"FELONY ASSAULT",49
2014-01-03,"GRAND LARCENY",86
2014-01-03,"GRAND LARCENY OF MOTOR VEHICLE",10
2014-01-03,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-03,"RAPE",4
2014-01-03,"ROBBERY",36
2014-01-04,"BURGLARY",37
2014-01-04,"FELONY ASSAULT",37
2014-01-04,"GRAND LARCENY",84
2014-01-04,"GRAND LARCENY OF MOTOR VEHICLE",20
2014-01-04,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-04,"RAPE",4
2014-01-04,"ROBBERY",32
2014-01-05,"BURGLARY",39
2014-01-05,"FELONY ASSAULT",39
2014-01-05,"GRAND LARCENY",82
2014-01-05,"GRAND LARCENY OF MOTOR VEHICLE",12
2014-01-05,"MURDER & NON-NEGL. MANSLAUGHTE",3
2014-01-05,"RAPE",1
2014-01-05,"ROBBERY",25
2014-01-06,"BURGLARY",60
2014-01-06,"FELONY ASSAULT",42
2014-01-06,"GRAND LARCENY",123
2014-01-06,"GRAND LARCENY OF MOTOR VEHICLE",11
2014-01-06,"RAPE",2
2014-01-06,"ROBBERY",58
2014-01-07,"BURGLARY",46
2014-01-07,"FELONY ASSAULT",28
2014-01-07,"GRAND LARCENY",99
2014-01-07,"GRAND LARCENY OF MOTOR VEHICLE",15
2014-01-07,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-07,"RAPE",2
2014-01-07,"ROBBERY",49
2014-01-08,"BURGLARY",55
2014-01-08,"FELONY ASSAULT",47
2014-01-08,"GRAND LARCENY",124
2014-01-08,"GRAND LARCENY OF MOTOR VEHICLE",26
2014-01-08,"MURDER & NON-NEGL. MANSLAUGHTE",2
2014-01-08,"ROBBERY",43
2014-01-09,"BURGLARY",37
2014-01-09,"FELONY ASSAULT",53
2014-01-09,"GRAND LARCENY",119
2014-01-09,"GRAND LARCENY OF MOTOR VEHICLE",25
2014-01-09,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-09,"RAPE",6
2014-01-09,"ROBBERY",55
2014-01-10,"BURGLARY",57
2014-01-10,"FELONY ASSAULT",46
2014-01-10,"GRAND LARCENY",148
2014-01-10,"GRAND LARCENY OF MOTOR VEHICLE",14
2014-01-10,"MURDER & NON-NEGL. MANSLAUGHTE",2
2014-01-10,"RAPE",3
2014-01-10,"ROBBERY",62
2014-01-11,"BURGLARY",45
2014-01-11,"FELONY ASSAULT",62
2014-01-11,"GRAND LARCENY",123
2014-01-11,"GRAND LARCENY OF MOTOR VEHICLE",33
2014-01-11,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-11,"RAPE",1
2014-01-11,"ROBBERY",58
2014-01-12,"BURGLARY",39
2014-01-12,"FELONY ASSAULT",56
2014-01-12,"GRAND LARCENY",113
2014-01-12,"GRAND LARCENY OF MOTOR VEHICLE",18
2014-01-12,"RAPE",3
2014-01-12,"ROBBERY",54
2014-01-13,"BURGLARY",65
2014-01-13,"FELONY ASSAULT",55
2014-01-13,"GRAND LARCENY",114
2014-01-13,"GRAND LARCENY OF MOTOR VEHICLE",13
2014-01-13,"RAPE",2
2014-01-13,"ROBBERY",54
2014-01-14,"BURGLARY",44
2014-01-14,"FELONY ASSAULT",58
2014-01-14,"GRAND LARCENY",123
2014-01-14,"GRAND LARCENY OF MOTOR VEHICLE",29
2014-01-14,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-14,"ROBBERY",68
2014-01-15,"BURGLARY",53
2014-01-15,"FELONY ASSAULT",65
2014-01-15,"GRAND LARCENY",127
2014-01-15,"GRAND LARCENY OF MOTOR VEHICLE",25
2014-01-15,"RAPE",5
2014-01-15,"ROBBERY",47
2014-01-16,"BURGLARY",59
2014-01-16,"FELONY ASSAULT",44
2014-01-16,"GRAND LARCENY",127
2014-01-16,"GRAND LARCENY OF MOTOR VEHICLE",24
2014-01-16,"ROBBERY",58
2014-01-17,"BURGLARY",67
2014-01-17,"FELONY ASSAULT",51
2014-01-17,"GRAND LARCENY",125
2014-01-17,"GRAND LARCENY OF MOTOR VEHICLE",23
2014-01-17,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-17,"RAPE",3
2014-01-17,"ROBBERY",52
2014-01-18,"BURGLARY",46
2014-01-18,"FELONY ASSAULT",52
2014-01-18,"GRAND LARCENY",112
2014-01-18,"GRAND LARCENY OF MOTOR VEHICLE",24
2014-01-18,"MURDER & NON-NEGL. MANSLAUGHTE",3
2014-01-18,"RAPE",5
2014-01-18,"ROBBERY",58
2014-01-19,"BURGLARY",43
2014-01-19,"FELONY ASSAULT",58
2014-01-19,"GRAND LARCENY",93
2014-01-19,"GRAND LARCENY OF MOTOR VEHICLE",30
2014-01-19,"RAPE",4
2014-01-19,"ROBBERY",44
2014-01-20,"BURGLARY",39
2014-01-20,"FELONY ASSAULT",53
2014-01-20,"GRAND LARCENY",107
2014-01-20,"GRAND LARCENY OF MOTOR VEHICLE",21
2014-01-20,"MURDER & NON-NEGL. MANSLAUGHTE",3
2014-01-20,"RAPE",3
2014-01-20,"ROBBERY",48
2014-01-21,"BURGLARY",40
2014-01-21,"FELONY ASSAULT",38
2014-01-21,"GRAND LARCENY",100
2014-01-21,"GRAND LARCENY OF MOTOR VEHICLE",23
2014-01-21,"MURDER & NON-NEGL. MANSLAUGHTE",2
2014-01-21,"ROBBERY",58
2014-01-22,"BURGLARY",35
2014-01-22,"FELONY ASSAULT",40
2014-01-22,"GRAND LARCENY",70
2014-01-22,"GRAND LARCENY OF MOTOR VEHICLE",19
2014-01-22,"RAPE",1
2014-01-22,"ROBBERY",36
2014-01-23,"BURGLARY",52
2014-01-23,"FELONY ASSAULT",30
2014-01-23,"GRAND LARCENY",91
2014-01-23,"GRAND LARCENY OF MOTOR VEHICLE",16
2014-01-23,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-23,"RAPE",3
2014-01-23,"ROBBERY",40
2014-01-24,"BURGLARY",56
2014-01-24,"FELONY ASSAULT",44
2014-01-24,"GRAND LARCENY",107
2014-01-24,"GRAND LARCENY OF MOTOR VEHICLE",12
2014-01-24,"RAPE",4
2014-01-24,"ROBBERY",37
2014-01-25,"BURGLARY",37
2014-01-25,"FELONY ASSAULT",53
2014-01-25,"GRAND LARCENY",119
2014-01-25,"GRAND LARCENY OF MOTOR VEHICLE",20
2014-01-25,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-25,"RAPE",1
2014-01-25,"ROBBERY",42
2014-01-26,"BURGLARY",33
2014-01-26,"FELONY ASSAULT",47
2014-01-26,"GRAND LARCENY",89
2014-01-26,"GRAND LARCENY OF MOTOR VEHICLE",17
2014-01-26,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-26,"RAPE",3
2014-01-26,"ROBBERY",48
2014-01-27,"BURGLARY",56
2014-01-27,"FELONY ASSAULT",38
2014-01-27,"GRAND LARCENY",103
2014-01-27,"GRAND LARCENY OF MOTOR VEHICLE",16
2014-01-27,"RAPE",4
2014-01-27,"ROBBERY",42
2014-01-28,"BURGLARY",46
2014-01-28,"FELONY ASSAULT",46
2014-01-28,"GRAND LARCENY",95
2014-01-28,"GRAND LARCENY OF MOTOR VEHICLE",21
2014-01-28,"RAPE",2
2014-01-28,"ROBBERY",51
2014-01-29,"BURGLARY",58
2014-01-29,"FELONY ASSAULT",53
2014-01-29,"GRAND LARCENY",113
2014-01-29,"GRAND LARCENY OF MOTOR VEHICLE",16
2014-01-29,"MURDER & NON-NEGL. MANSLAUGHTE",3
2014-01-29,"RAPE",1
2014-01-29,"ROBBERY",36
2014-01-30,"BURGLARY",50
2014-01-30,"FELONY ASSAULT",62
2014-01-30,"GRAND LARCENY",119
2014-01-30,"GRAND LARCENY OF MOTOR VEHICLE",15
2014-01-30,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-01-30,"RAPE",2
2014-01-30,"ROBBERY",42
2014-01-31,"BURGLARY",68
2014-01-31,"FELONY ASSAULT",54
2014-01-31,"GRAND LARCENY",128
2014-01-31,"GRAND LARCENY OF MOTOR VEHICLE",17
2014-01-31,"RAPE",3
2014-01-31,"ROBBERY",64
2014-02-01,"BURGLARY",44
2014-02-01,"FELONY ASSAULT",68
2014-02-01,"GRAND LARCENY",149
2014-02-01,"GRAND LARCENY OF MOTOR VEHICLE",29
2014-02-01,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-02-01,"RAPE",5
2014-02-01,"ROBBERY",49
2014-02-02,"BURGLARY",39
2014-02-02,"FELONY ASSAULT",63
2014-02-02,"GRAND LARCENY",106
2014-02-02,"GRAND LARCENY OF MOTOR VEHICLE",26
2014-02-02,"RAPE",4
2014-02-02,"ROBBERY",58
2014-02-03,"BURGLARY",30
2014-02-03,"FELONY ASSAULT",46
2014-02-03,"GRAND LARCENY",95
2014-02-03,"GRAND LARCENY OF MOTOR VEHICLE",19
2014-02-03,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-02-03,"ROBBERY",57
2014-02-04,"BURGLARY",47
2014-02-04,"FELONY ASSAULT",40
2014-02-04,"GRAND LARCENY",98
2014-02-04,"GRAND LARCENY OF MOTOR VEHICLE",11
2014-02-04,"MURDER & NON-NEGL. MANSLAUGHTE",3
2014-02-04,"RAPE",2
2014-02-04,"ROBBERY",39
2014-02-05,"BURGLARY",41
2014-02-05,"FELONY ASSAULT",51
2014-02-05,"GRAND LARCENY",104
2014-02-05,"GRAND LARCENY OF MOTOR VEHICLE",10
2014-02-05,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-02-05,"ROBBERY",32
2014-02-06,"BURGLARY",43
2014-02-06,"FELONY ASSAULT",39
2014-02-06,"GRAND LARCENY",87
2014-02-06,"GRAND LARCENY OF MOTOR VEHICLE",15
2014-02-06,"MURDER & NON-NEGL. MANSLAUGHTE",2
2014-02-06,"RAPE",3
2014-02-06,"ROBBERY",56
2014-02-07,"BURGLARY",71
2014-02-07,"FELONY ASSAULT",49
2014-02-07,"GRAND LARCENY",106
2014-02-07,"GRAND LARCENY OF MOTOR VEHICLE",11
2014-02-07,"RAPE",2
2014-02-07,"ROBBERY",35
2014-02-08,"BURGLARY",34
2014-02-08,"FELONY ASSAULT",58
2014-02-08,"GRAND LARCENY",128
2014-02-08,"GRAND LARCENY OF MOTOR VEHICLE",19
2014-02-08,"RAPE",1
2014-02-08,"ROBBERY",43
2014-02-09,"BURGLARY",36
2014-02-09,"FELONY ASSAULT",55
2014-02-09,"GRAND LARCENY",78
2014-02-09,"GRAND LARCENY OF MOTOR VEHICLE",20
2014-02-09,"RAPE",2
2014-02-09,"ROBBERY",48
2014-02-10,"BURGLARY",55
2014-02-10,"FELONY ASSAULT",41
2014-02-10,"GRAND LARCENY",122
2014-02-10,"GRAND LARCENY OF MOTOR VEHICLE",16
2014-02-10,"RAPE",2
2014-02-10,"ROBBERY",49
2014-02-11,"BURGLARY",47
2014-02-11,"FELONY ASSAULT",40
2014-02-11,"GRAND LARCENY",112
2014-02-11,"GRAND LARCENY OF MOTOR VEHICLE",11
2014-02-11,"ROBBERY",50
2014-02-12,"BURGLARY",39
2014-02-12,"FELONY ASSAULT",51
2014-02-12,"GRAND LARCENY",99
2014-02-12,"GRAND LARCENY OF MOTOR VEHICLE",22
2014-02-12,"RAPE",5
2014-02-12,"ROBBERY",51
2014-02-13,"BURGLARY",20
2014-02-13,"FELONY ASSAULT",35
2014-02-13,"GRAND LARCENY",90
2014-02-13,"GRAND LARCENY OF MOTOR VEHICLE",11
2014-02-13,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-02-13,"RAPE",3
2014-02-13,"ROBBERY",29
2014-02-14,"BURGLARY",51
2014-02-14,"FELONY ASSAULT",38
2014-02-14,"GRAND LARCENY",122
2014-02-14,"GRAND LARCENY OF MOTOR VEHICLE",18
2014-02-14,"RAPE",3
2014-02-14,"ROBBERY",41
2014-02-15,"BURGLARY",32
2014-02-15,"FELONY ASSAULT",70
2014-02-15,"GRAND LARCENY",100
2014-02-15,"GRAND LARCENY OF MOTOR VEHICLE",16
2014-02-15,"RAPE",6
2014-02-15,"ROBBERY",61
2014-02-16,"BURGLARY",28
2014-02-16,"FELONY ASSAULT",77
2014-02-16,"GRAND LARCENY",90
2014-02-16,"GRAND LARCENY OF MOTOR VEHICLE",8
2014-02-16,"RAPE",5
2014-02-16,"ROBBERY",46
2014-02-17,"BURGLARY",40
2014-02-17,"FELONY ASSAULT",46
2014-02-17,"GRAND LARCENY",110
2014-02-17,"GRAND LARCENY OF MOTOR VEHICLE",12
2014-02-17,"RAPE",3
2014-02-17,"ROBBERY",38
2014-02-18,"BURGLARY",32
2014-02-18,"FELONY ASSAULT",41
2014-02-18,"GRAND LARCENY",107
2014-02-18,"GRAND LARCENY OF MOTOR VEHICLE",16
2014-02-18,"RAPE",5
2014-02-18,"ROBBERY",37
2014-02-19,"BURGLARY",43
2014-02-19,"FELONY ASSAULT",35
2014-02-19,"GRAND LARCENY",97
2014-02-19,"GRAND LARCENY OF MOTOR VEHICLE",18
2014-02-19,"RAPE",3
2014-02-19,"ROBBERY",37
2014-02-20,"BURGLARY",53
2014-02-20,"FELONY ASSAULT",44
2014-02-20,"GRAND LARCENY",103
2014-02-20,"GRAND LARCENY OF MOTOR VEHICLE",13
2014-02-20,"RAPE",3
2014-02-20,"ROBBERY",49
2014-02-21,"BURGLARY",65
2014-02-21,"FELONY ASSAULT",44
2014-02-21,"GRAND LARCENY",92
2014-02-21,"GRAND LARCENY OF MOTOR VEHICLE",17
2014-02-21,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-02-21,"RAPE",3
2014-02-21,"ROBBERY",51
2014-02-22,"BURGLARY",43
2014-02-22,"FELONY ASSAULT",88
2014-02-22,"GRAND LARCENY",106
2014-02-22,"GRAND LARCENY OF MOTOR VEHICLE",21
2014-02-22,"RAPE",1
2014-02-22,"ROBBERY",39
2014-02-23,"BURGLARY",39
2014-02-23,"FELONY ASSAULT",60
2014-02-23,"GRAND LARCENY",85
2014-02-23,"GRAND LARCENY OF MOTOR VEHICLE",18
2014-02-23,"MURDER & NON-NEGL. MANSLAUGHTE",2
2014-02-23,"RAPE",2
2014-02-23,"ROBBERY",47
2014-02-24,"BURGLARY",52
2014-02-24,"FELONY ASSAULT",50
2014-02-24,"GRAND LARCENY",108
2014-02-24,"GRAND LARCENY OF MOTOR VEHICLE",17
2014-02-24,"RAPE",2
2014-02-24,"ROBBERY",48
2014-02-25,"BURGLARY",44
2014-02-25,"FELONY ASSAULT",39
2014-02-25,"GRAND LARCENY",115
2014-02-25,"GRAND LARCENY OF MOTOR VEHICLE",24
2014-02-25,"RAPE",2
2014-02-25,"ROBBERY",43
2014-02-26,"BURGLARY",33
2014-02-26,"FELONY ASSAULT",42
2014-02-26,"GRAND LARCENY",113
2014-02-26,"GRAND LARCENY OF MOTOR VEHICLE",23
2014-02-26,"RAPE",1
2014-02-26,"ROBBERY",35
2014-02-27,"BURGLARY",37
2014-02-27,"FELONY ASSAULT",46
2014-02-27,"GRAND LARCENY",88
2014-02-27,"GRAND LARCENY OF MOTOR VEHICLE",16
2014-02-27,"RAPE",1
2014-02-27,"ROBBERY",29
2014-02-28,"BURGLARY",60
2014-02-28,"FELONY ASSAULT",45
2014-02-28,"GRAND LARCENY",130
2014-02-28,"GRAND LARCENY OF MOTOR VEHICLE",17
2014-02-28,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-02-28,"RAPE",1
2014-02-28,"ROBBERY",28
2014-03-01,"BURGLARY",30
2014-03-01,"FELONY ASSAULT",50
2014-03-01,"GRAND LARCENY",138
2014-03-01,"GRAND LARCENY OF MOTOR VEHICLE",23
2014-03-01,"RAPE",6
2014-03-01,"ROBBERY",36
2014-03-02,"BURGLARY",30
2014-03-02,"FELONY ASSAULT",58
2014-03-02,"GRAND LARCENY",96
2014-03-02,"GRAND LARCENY OF MOTOR VEHICLE",21
2014-03-02,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-03-02,"RAPE",6
2014-03-02,"ROBBERY",39
2014-03-03,"BURGLARY",52
2014-03-03,"FELONY ASSAULT",38
2014-03-03,"GRAND LARCENY",107
2014-03-03,"GRAND LARCENY OF MOTOR VEHICLE",16
2014-03-03,"MURDER & NON-NEGL. MANSLAUGHTE",2
2014-03-03,"RAPE",1
2014-03-03,"ROBBERY",31
2014-03-04,"BURGLARY",30
2014-03-04,"FELONY ASSAULT",37
2014-03-04,"GRAND LARCENY",96
2014-03-04,"GRAND LARCENY OF MOTOR VEHICLE",18
2014-03-04,"RAPE",1
2014-03-04,"ROBBERY",27
2014-03-05,"BURGLARY",37
2014-03-05,"FELONY ASSAULT",37
2014-03-05,"GRAND LARCENY",107
2014-03-05,"GRAND LARCENY OF MOTOR VEHICLE",10
2014-03-05,"RAPE",2
2014-03-05,"ROBBERY",46
2014-03-06,"BURGLARY",62
2014-03-06,"FELONY ASSAULT",55
2014-03-06,"GRAND LARCENY",117
2014-03-06,"GRAND LARCENY OF MOTOR VEHICLE",15
2014-03-06,"RAPE",2
2014-03-06,"ROBBERY",32
2014-03-07,"BURGLARY",48
2014-03-07,"FELONY ASSAULT",45
2014-03-07,"GRAND LARCENY",116
2014-03-07,"GRAND LARCENY OF MOTOR VEHICLE",17
2014-03-07,"ROBBERY",46
2014-03-08,"BURGLARY",31
2014-03-08,"FELONY ASSAULT",65
2014-03-08,"GRAND LARCENY",112
2014-03-08,"GRAND LARCENY OF MOTOR VEHICLE",25
2014-03-08,"RAPE",7
2014-03-08,"ROBBERY",45
2014-03-09,"BURGLARY",28
2014-03-09,"FELONY ASSAULT",75
2014-03-09,"GRAND LARCENY",100
2014-03-09,"GRAND LARCENY OF MOTOR VEHICLE",20
2014-03-09,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-03-09,"RAPE",5
2014-03-09,"ROBBERY",38
2014-03-10,"BURGLARY",41
2014-03-10,"FELONY ASSAULT",40
2014-03-10,"GRAND LARCENY",119
2014-03-10,"GRAND LARCENY OF MOTOR VEHICLE",24
2014-03-10,"RAPE",2
2014-03-10,"ROBBERY",34
2014-03-11,"BURGLARY",40
2014-03-11,"FELONY ASSAULT",51
2014-03-11,"GRAND LARCENY",109
2014-03-11,"GRAND LARCENY OF MOTOR VEHICLE",12
2014-03-11,"MURDER & NON-NEGL. MANSLAUGHTE",2
2014-03-11,"RAPE",1
2014-03-11,"ROBBERY",35
2014-03-12,"BURGLARY",38
2014-03-12,"FELONY ASSAULT",68
2014-03-12,"GRAND LARCENY",113
2014-03-12,"GRAND LARCENY OF MOTOR VEHICLE",14
2014-03-12,"RAPE",1
2014-03-12,"ROBBERY",23
2014-03-13,"BURGLARY",48
2014-03-13,"FELONY ASSAULT",28
2014-03-13,"GRAND LARCENY",125
2014-03-13,"GRAND LARCENY OF MOTOR VEHICLE",23
2014-03-13,"RAPE",5
2014-03-13,"ROBBERY",27
2014-03-14,"BURGLARY",59
2014-03-14,"FELONY ASSAULT",47
2014-03-14,"GRAND LARCENY",94
2014-03-14,"GRAND LARCENY OF MOTOR VEHICLE",14
2014-03-14,"MURDER & NON-NEGL. MANSLAUGHTE",3
2014-03-14,"RAPE",1
2014-03-14,"ROBBERY",34
2014-03-15,"BURGLARY",43
2014-03-15,"FELONY ASSAULT",61
2014-03-15,"GRAND LARCENY",125
2014-03-15,"GRAND LARCENY OF MOTOR VEHICLE",17
2014-03-15,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-03-15,"RAPE",3
2014-03-15,"ROBBERY",57
2014-03-16,"BURGLARY",39
2014-03-16,"FELONY ASSAULT",64
2014-03-16,"GRAND LARCENY",91
2014-03-16,"GRAND LARCENY OF MOTOR VEHICLE",12
2014-03-16,"RAPE",4
2014-03-16,"ROBBERY",36
2014-03-17,"BURGLARY",46
2014-03-17,"FELONY ASSAULT",44
2014-03-17,"GRAND LARCENY",98
2014-03-17,"GRAND LARCENY OF MOTOR VEHICLE",14
2014-03-17,"MURDER & NON-NEGL. MANSLAUGHTE",2
2014-03-17,"RAPE",3
2014-03-17,"ROBBERY",34
2014-03-18,"BURGLARY",36
2014-03-18,"FELONY ASSAULT",49
2014-03-18,"GRAND LARCENY",113
2014-03-18,"GRAND LARCENY OF MOTOR VEHICLE",17
2014-03-18,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-03-18,"RAPE",4
2014-03-18,"ROBBERY",42
2014-03-19,"BURGLARY",45
2014-03-19,"FELONY ASSAULT",41
2014-03-19,"GRAND LARCENY",113
2014-03-19,"GRAND LARCENY OF MOTOR VEHICLE",19
2014-03-19,"RAPE",2
2014-03-19,"ROBBERY",34
2014-03-20,"BURGLARY",41
2014-03-20,"FELONY ASSAULT",48
2014-03-20,"GRAND LARCENY",138
2014-03-20,"GRAND LARCENY OF MOTOR VEHICLE",26
2014-03-20,"MURDER & NON-NEGL. MANSLAUGHTE",2
2014-03-20,"RAPE",3
2014-03-20,"ROBBERY",40
2014-03-21,"BURGLARY",52
2014-03-21,"FELONY ASSAULT",51
2014-03-21,"GRAND LARCENY",123
2014-03-21,"GRAND LARCENY OF MOTOR VEHICLE",12
2014-03-21,"RAPE",2
2014-03-21,"ROBBERY",49
2014-03-22,"BURGLARY",36
2014-03-22,"FELONY ASSAULT",94
2014-03-22,"GRAND LARCENY",99
2014-03-22,"GRAND LARCENY OF MOTOR VEHICLE",19
2014-03-22,"RAPE",3
2014-03-22,"ROBBERY",38
2014-03-23,"BURGLARY",29
2014-03-23,"FELONY ASSAULT",89
2014-03-23,"GRAND LARCENY",81
2014-03-23,"GRAND LARCENY OF MOTOR VEHICLE",17
2014-03-23,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-03-23,"RAPE",1
2014-03-23,"ROBBERY",51
2014-03-24,"BURGLARY",47
2014-03-24,"FELONY ASSAULT",47
2014-03-24,"GRAND LARCENY",110
2014-03-24,"GRAND LARCENY OF MOTOR VEHICLE",18
2014-03-24,"MURDER & NON-NEGL. MANSLAUGHTE",1
2014-03-24,"RAPE",1
2014-03-24,"ROBBERY",38
2014-03-25,"BURGLARY",40
2014-03-25,"FELONY ASSAULT",49
2014-03-25,"GRAND LARCENY",116
2014-03-25,"GRAND LARCENY OF MOTOR VEHICLE",17
2014-03-25,"RAPE",4
2014-03-25,"ROBBERY",36
2014-03-26,"BURGLARY",36
2014-03-26,"FELONY ASSAULT",44
2014-03-26,"GRAND LARCENY",97
2014-03-26,"GRAND LARCENY OF MOTOR VEHICLE",14
