"date","precip_in","snowfall_in","temp_min_degF","temp_max_degF","windspeed_avg_mph"
2014-01-01,0,0,24.26,33.08,5.59235
2014-01-02,0.33070884,3.1102379,18.14,33.08,12.30317
2014-01-03,0.29133874,3.3070884,9.14,18.14,10.513618
2014-01-04,0,0,8.24,29.12,4.921268
2014-01-05,0.14173236,0,27.14,39.92,3.802798
2014-01-06,0.35826791,0,19.22,55.04,8.500372
2014-01-07,0,0,4.1,19.22,13.197946
2014-01-08,0,0,9.14,22.1,7.158208
2014-01-09,0,0,22.1,32,2.908022
2014-01-10,0.11023628,0,30.2,37.04,3.35541
2014-01-11,0.50000027,0,37.04,57.92,7.158208
2014-01-12,0.05118113,0,37.94,53.96,8.276678
2014-01-13,0,0,37.04,51.08,5.144962
2014-01-14,0.38188997,0,44.06,51.98,4.921268
2014-01-15,0,0,39.02,46.94,2.908022
2014-01-16,0,0,35.96,42.08,4.026492
2014-01-17,0,0,33.08,44.06,3.579104
2014-01-18,0.07086618,0,29.12,41,7.158208
2014-01-19,0,0,24.26,37.94,7.381902
2014-01-20,0,0,31.1,46.04,7.381902
2014-01-21,0.46063017,10.9842579,11.12,31.1,10.513618
2014-01-22,0.01968505,0.5118113,5.18,17.24,8.724066
2014-01-23,0,0,7.16,20.12,7.158208
2014-01-24,0,0,10.22,20.12,8.052984
2014-01-25,0.0393701,0.9842525,19.22,28.22,7.605596
2014-01-26,0,0,17.24,33.98,-2236.716306
2014-01-27,0,0,21.2,44.06,7.82929
2014-01-28,0,0,12.2,21.2,6.039738
2014-01-29,0.0393701,0.787402,14.18,23.18,6.487126
2014-01-30,0,0,16.16,30.2,3.802798
2014-01-31,0,0,25.16,39.02,4.921268
2014-02-01,0,0,35.96,44.96,3.579104
2014-02-02,0,0,39.02,55.94,3.131716
2014-02-03,1.16929197,7.9921303,27.14,42.98,6.71082
2014-02-04,0,0,22.1,35.06,2.23694
2014-02-05,1.42913463,4.0157502,29.12,33.98,7.158208
2014-02-06,0,0,21.2,32,4.026492
2014-02-07,0,0,24.26,32,6.71082
2014-02-08,0,0,21.2,29.12,4.921268
2014-02-09,0.09842525,1.181103,21.2,31.1,3.579104
2014-02-10,0,0,21.2,29.12,7.158208
2014-02-11,0,0,16.16,26.24,5.368656
2014-02-12,0,0,13.1,25.16,5.816044
2014-02-13,1.77952852,9.4881941,24.26,35.96,12.526864
2014-02-14,0.29921276,2.9921276,31.1,39.92,10.513618
2014-02-15,0.12992133,1.6141741,27.14,37.04,9.395148
2014-02-16,0,0,21.2,30.2,8.94776
2014-02-17,0,0,18.14,32,5.368656
2014-02-18,0.16141741,1.4960638,26.24,39.02,5.144962
2014-02-19,0.25984266,0,33.98,44.96,5.144962
2014-02-20,0.03149608,0,37.04,51.08,4.921268
2014-02-21,0.09055123,0,35.96,48.92,7.381902
2014-02-22,0,0,39.92,53.96,7.158208
2014-02-23,0,0,42.98,53.96,5.368656
2014-02-24,0,0,27.14,44.06,9.395148
2014-02-25,0,0,24.26,33.08,6.934514
2014-02-26,0.03149608,0.1968505,20.12,31.1,5.368656
2014-02-27,0,0,14.18,33.98,8.500372
2014-02-28,0,0,9.14,24.26,4.697574
2014-03-01,0,0,20.12,37.04,4.47388
2014-03-02,0,0,32,39.92,3.802798
2014-03-03,0.0393701,0.1181103,17.24,32,6.71082
2014-03-04,0,0,13.1,29.12,4.697574
2014-03-05,0,0,26.24,39.02,5.144962
2014-03-06,0,0,16.16,31.1,8.500372
2014-03-07,0,0,26.24,37.04,7.82929
2014-03-08,0,0,35.06,57.02,5.816044
2014-03-09,0,0,35.96,44.06,6.263432
2014-03-10,0,0,35.96,51.08,5.368656
2014-03-11,0,0,44.96,66.02,4.697574
