date,day_of_week,is_weekend,felonies,accidents,accident_injuriesDeaths,any_precip,temp_min_degF,temp_max_degF,windspeed_avg_mph,is_holiday,school_attendance_pct,is_school_day
1/1/15,Thursday,0,389,395,131,0,27.14,39.02,7.158208,1,0,0
1/2/15,Friday,0,257,442,93,0,35.06,42.08,7.158208,0,0,0
1/3/15,Saturday,1,263,456,138,1,33.08,42.08,6.487126,0,0,0
1/4/15,Sunday,1,227,380,110,1,41,55.94,6.487126,0,0,0
1/5/15,Monday,0,275,498,146,0,21.2,48.92,10.513618,0,89.33,1
1/6/15,Tuesday,0,223,776,142,1,19.22,22.1,4.026492,0,89.58,1
1/7/15,Wednesday,0,226,538,151,0,9.14,23.18,12.750558,0,89.1,1
1/8/15,Thursday,0,220,573,117,0,8.24,21.2,8.724066,0,83.33,1
1/9/15,Friday,0,235,751,155,1,19.22,33.08,8.724066,0,83.39,1
1/10/15,Saturday,1,227,481,112,0,16.16,23.18,8.052984,0,0,0
1/11/15,Sunday,1,256,341,66,0,18.14,37.04,6.039738,0,0,0
1/12/15,Monday,0,286,580,157,1,35.06,39.02,3.802798,0,90.08,1
1/13/15,Tuesday,0,242,613,143,0,17.24,35.96,8.500372,0,91.34,1
1/14/15,Wednesday,0,254,506,116,0,16.16,32,6.263432,0,91.15,1
1/15/15,Thursday,0,309,546,122,0,25.16,35.06,4.697574,0,91.28,1
1/16/15,Friday,0,322,563,115,0,20.12,42.98,9.842536,0,89.77,1
1/17/15,Saturday,1,264,495,111,0,17.24,32,6.039738,0,0,0
1/18/15,Sunday,1,226,960,228,1,31.1,42.08,3.802798,0,0,0
1/19/15,Monday,0,225,496,103,0,35.96,42.08,7.605596,1,0,0
1/20/15,Tuesday,0,293,499,92,0,32,39.92,5.816044,0,90.76,1
1/21/15,Wednesday,0,263,495,80,0,25.16,35.96,4.250186,0,91.05,1
1/22/15,Thursday,0,266,508,98,0,31.1,39.92,5.59235,0,91.2,1
1/23/15,Friday,0,257,597,119,0,28.22,39.02,5.59235,0,90.42,1
1/24/15,Saturday,1,272,428,66,1,33.08,39.02,6.039738,0,0,0
1/25/15,Sunday,1,234,406,107,0,31.1,42.08,6.263432,0,0,0
1/26/15,Monday,0,280,484,80,1,22.1,31.1,12.750558,0,86.34,1
1/27/15,Tuesday,0,171,188,21,1,20.12,30.2,8.276678,0,0,0
1/28/15,Wednesday,0,206,458,89,0,16.16,33.98,7.605596,0,90.16,1
1/29/15,Thursday,0,215,519,91,1,19.22,35.96,3.802798,0,93.91,1
1/30/15,Friday,0,242,622,101,1,19.22,37.94,10.513618,0,92.08,1
1/31/15,Saturday,1,215,526,100,0,13.1,26.24,12.30317,0,0,0
2/1/15,Sunday,1,239,361,65,1,20.12,35.96,3.802798,0,0,0
2/2/15,Monday,0,233,680,122,1,14.18,33.98,9.842536,0,74.71,1
2/3/15,Tuesday,0,201,740,141,0,13.1,26.24,7.158208,0,87.74,1
2/4/15,Wednesday,0,213,585,124,0,24.26,42.98,4.250186,0,91.46,1
2/5/15,Thursday,0,237,569,98,0,14.18,42.08,8.500372,0,91.12,1
2/6/15,Friday,0,275,652,98,0,12.2,27.14,7.158208,0,89.69,1
2/7/15,Saturday,1,228,449,116,1,25.16,39.92,3.802798,0,0,0
2/8/15,Sunday,1,219,394,85,0,29.12,37.04,8.500372,0,0,0
2/9/15,Monday,0,224,547,113,1,25.16,29.12,10.961006,0,86.56,1
2/10/15,Tuesday,0,207,571,114,1,26.24,39.92,10.513618,0,91.21,1
2/11/15,Wednesday,0,230,610,132,0,22.1,33.98,6.487126,0,91.5,1
2/12/15,Thursday,0,237,526,110,0,16.16,39.92,7.381902,1,91.12,1
2/13/15,Friday,0,260,757,147,0,8.24,21.2,9.171454,0,87.49,1
2/14/15,Saturday,1,278,436,69,1,16.16,32,5.368656,0,0,0
2/15/15,Sunday,1,224,453,87,0,4.1,25.16,14.54011,0,0,0
2/16/15,Monday,0,177,402,74,0,3.2,21.2,6.934514,1,0,0
2/17/15,Tuesday,0,202,620,110,1,14.18,27.14,4.697574,0,0,0
2/18/15,Wednesday,0,236,626,124,0,19.22,33.08,4.250186,0,0,0
