"date","attn_pct"
"2015-01-01",0
"2015-01-02",0
"2015-01-05",89.33
"2015-01-06",89.58
"2015-01-07",89.1
"2015-01-08",83.33
"2015-01-09",83.39
"2015-01-12",90.08
"2015-01-13",91.34
"2015-01-14",91.15
"2015-01-15",91.28
"2015-01-16",89.77
"2015-01-20",90.76
"2015-01-21",91.05
"2015-01-22",91.2
"2015-01-23",90.42
"2015-01-26",86.34
"2015-01-27",0
"2015-01-28",90.16
"2015-01-29",93.91
"2015-01-30",92.08
"2015-02-02",74.71
"2015-02-03",87.74
"2015-02-04",91.46
"2015-02-05",91.12
"2015-02-06",89.69
"2015-02-09",86.56
"2015-02-10",91.21
"2015-02-11",91.5
"2015-02-12",91.12
"2015-02-13",87.49
"2015-02-17",0
"2015-02-18",0
"2015-02-19",0
"2015-02-23",89.64
"2015-02-24",90.12
"2015-02-25",91.66
"2015-02-26",91.32
"2015-02-27",90.45
"2015-03-02",88.22
"2015-03-03",91.55
"2015-03-04",90.74
"2015-03-05",80.94
"2015-03-06",87.65
"2015-03-09",89.95
"2015-03-10",91.46
"2015-03-11",91.87
"2015-03-12",90.52
"2015-03-13",90.36
"2015-03-16",90.87
"2015-03-17",91.41
"2015-03-18",91.76
"2015-03-19",86.35
"2015-03-20",89.76
"2015-03-23",91.03
"2015-03-24",91.68
"2015-03-25",92.09
"2015-03-26",91.7
"2015-03-27",86.99
"2015-03-30",90.26
"2015-03-31",91.55
"2015-04-01",91.15
"2015-04-02",88.53
"2015-04-06",0
"2015-04-07",0
"2015-04-08",0
"2015-04-09",0
"2015-04-10",0
"2015-04-13",90.52
"2015-04-14",92.68
"2015-04-15",93.2
"2015-04-16",92.83
"2015-04-17",89.34
"2015-04-20",89.28
"2015-04-21",92
"2015-04-22",93.12
"2015-04-23",92.6
"2015-04-24",91.4
"2015-04-27",89.92
"2015-04-28",91.39
"2015-04-29",91.63
"2015-04-30",91.03
"2015-05-01",89.42
"2015-05-04",89.88
"2015-05-05",90.44
"2015-05-06",90.17
"2015-05-07",90.79
"2015-05-08",89.1
"2015-05-11",88.51
"2015-05-12",90.96
"2015-05-13",91.11
"2015-05-14",90.85
"2015-05-15",88.93
"2015-05-18",89.45
"2015-05-19",90.51
"2015-05-20",91.29
"2015-05-21",90.52
"2015-05-22",87.58
"2015-05-26",88.8
"2015-05-27",90.2
"2015-05-28",90.41
"2015-05-29",89.01
"2015-06-01",88.37
"2015-06-02",91.72
"2015-06-03",89.12
"2015-06-04",93.45
"2015-06-05",85.59
"2015-06-08",88.56
"2015-06-09",80.15
"2015-06-10",90.3
"2015-06-11",89.49
"2015-06-12",87.31
"2015-06-15",74.63
"2015-06-16",92.83
"2015-06-17",92.55
"2015-06-18",90.58
"2015-06-19",88.45
"2015-06-22",86.33
"2015-06-23",85.45
"2015-06-24",83.69
"2015-06-25",82.1
"2015-06-26",81.15
"2015-06-30",0
"2015-07-01",0
"2015-07-06",0
"2015-07-07",0
"2015-07-08",0
"2015-07-09",0
"2015-09-09",86.43
"2015-09-10",87.66
"2015-09-11",88.62
"2015-09-16",90.58
"2015-09-17",90.88
"2015-09-18",90.67
"2015-09-21",90.76
"2015-09-22",90.95
"2015-09-25",87.09
"2015-09-28",90.79
"2015-09-29",91.54
"2015-09-30",91.41
"2015-10-01",92
"2015-10-02",89.65
"2015-10-05",91.33
"2015-10-06",92.05
"2015-10-07",92.46
"2015-10-08",92.33
"2015-10-09",91.29
"2015-10-13",91.91
"2015-10-14",90.83
"2015-10-15",92.54
"2015-10-16",91.65
"2015-10-19",91.52
"2015-10-20",92.46
"2015-10-21",92.63
"2015-10-22",92.49
"2015-10-23",91.57
"2015-10-26",91.77
"2015-10-27",92.44
"2015-10-28",92.26
"2015-10-29",92.6
"2015-10-30",90.26
"2015-11-02",91.97
"2015-11-03",0
"2015-11-04",93.09
"2015-11-05",88.25
"2015-11-06",91.71
"2015-11-09",92.31
"2015-11-10",91.82
"2015-11-12",92.64
"2015-11-13",91.62
"2015-11-16",91.95
"2015-11-17",91.33
"2015-11-18",92.52
"2015-11-19",92.26
"2015-11-20",88.96
"2015-11-23",91.55
"2015-11-24",91.38
"2015-11-25",87.23
"2015-11-30",90.51
"2015-12-01",91.07
"2015-12-02",91.55
"2015-12-03",91.9
"2015-12-04",90.94
"2015-12-07",91.06
"2015-12-08",91.61
"2015-12-09",91.93
"2015-12-10",91.91
"2015-12-11",90.68
"2015-12-14",90.42
"2015-12-15",91.47
"2015-12-16",91.5
"2015-12-17",90.95
"2015-12-18",89.74
"2015-12-21",88.69
"2015-12-22",88.34
"2015-12-23",83.01
"2015-12-28",0
"2015-12-29",0
"2015-12-30",0
"2016-01-04",88.1
"2016-01-05",87.39
"2016-01-06",90.62
"2016-01-07",90.7
"2016-01-08",89.96
"2016-01-11",90.81
"2016-01-12",91.21
"2016-01-13",90.87
"2016-01-14",91.12
"2016-01-15",90.12
"2016-01-19",89.45
"2016-01-20",91.55
"2016-01-21",91.83
"2016-01-22",90.35
"2016-01-25",74.18
"2016-01-26",92.56
"2016-01-27",94.22
"2016-01-28",94.33
"2016-01-29",93.12
"2016-02-01",92.62
"2016-02-02",91.8
"2016-02-03",91.31
"2016-02-04",91.44
"2016-02-05",82.75
"2016-02-09",90.85
"2016-02-10",90.99
"2016-02-11",90.87
"2016-02-12",87.79
"2016-02-16",0
"2016-02-17",0
"2016-02-18",0
"2016-02-22",90.17
"2016-02-23",91.13
"2016-02-24",90.64
"2016-02-25",91.2
"2016-02-26",90.05
"2016-02-29",90.3
"2016-03-01",91.34
"2016-03-02",90.55
"2016-03-03",85.68
"2016-03-04",88.84
"2016-03-07",90.44
"2016-03-08",90.84
"2016-03-09",91.55
"2016-03-10",91.42
"2016-03-11",87.24
