"date","day_of_week","felonies","accidents","any_precip","temp_min_degF","temp_max_degF","windspeed_avg_mph","is_holiday","is_school_day"
2015-01-01,"5",389,395,"0",27.14,39.02,7.158208,"1","0"
2015-01-02,"6",257,442,"0",35.06,42.08,7.158208,"0","0"
2015-01-03,"7",263,456,"1",33.08,42.08,6.487126,"0","0"
2015-01-04,"1",227,380,"1",41,55.94,6.487126,"0","0"
2015-01-05,"2",275,498,"0",21.2,48.92,10.513618,"0","1"
2015-01-06,"3",223,776,"1",19.22,22.1,4.026492,"0","1"
2015-01-07,"4",226,538,"0",9.14,23.18,12.750558,"0","1"
2015-01-08,"5",220,573,"0",8.24,21.2,8.724066,"0","1"
2015-01-09,"6",235,751,"1",19.22,33.08,8.724066,"0","1"
2015-01-10,"7",227,481,"0",16.16,23.18,8.052984,"0","0"
2015-01-11,"1",256,341,"0",18.14,37.04,6.039738,"0","0"
2015-01-12,"2",286,580,"1",35.06,39.02,3.802798,"0","1"
2015-01-13,"3",242,613,"0",17.24,35.96,8.500372,"0","1"
2015-01-14,"4",254,506,"0",16.16,32,6.263432,"0","1"
2015-01-15,"5",309,546,"0",25.16,35.06,4.697574,"0","1"
2015-01-16,"6",322,563,"0",20.12,42.98,9.842536,"0","1"
2015-01-17,"7",264,495,"0",17.24,32,6.039738,"0","0"
2015-01-18,"1",226,960,"1",31.1,42.08,3.802798,"0","0"
2015-01-19,"2",225,496,"0",35.96,42.08,7.605596,"1","0"
2015-01-20,"3",293,499,"0",32,39.92,5.816044,"0","1"
2015-01-21,"4",263,495,"0",25.16,35.96,4.250186,"0","1"
2015-01-22,"5",266,508,"0",31.1,39.92,5.59235,"0","1"
2015-01-23,"6",257,597,"0",28.22,39.02,5.59235,"0","1"
2015-01-24,"7",272,428,"1",33.08,39.02,6.039738,"0","0"
2015-01-25,"1",234,406,"0",31.1,42.08,6.263432,"0","0"
2015-01-26,"2",280,484,"1",22.1,31.1,12.750558,"0","1"
2015-01-27,"3",171,188,"1",20.12,30.2,8.276678,"0","0"
2015-01-28,"4",206,458,"0",16.16,33.98,7.605596,"0","1"
2015-01-29,"5",215,519,"1",19.22,35.96,3.802798,"0","1"
2015-01-30,"6",242,622,"1",19.22,37.94,10.513618,"0","1"
2015-01-31,"7",215,526,"0",13.1,26.24,12.30317,"0","0"
2015-02-01,"1",239,361,"1",20.12,35.96,3.802798,"0","0"
2015-02-02,"2",233,680,"1",14.18,33.98,9.842536,"0","1"
2015-02-03,"3",201,740,"0",13.1,26.24,7.158208,"0","1"
2015-02-04,"4",213,585,"0",24.26,42.98,4.250186,"0","1"
2015-02-05,"5",237,569,"0",14.18,42.08,8.500372,"0","1"
2015-02-06,"6",275,652,"0",12.2,27.14,7.158208,"0","1"
2015-02-07,"7",228,449,"1",25.16,39.92,3.802798,"0","0"
2015-02-08,"1",219,394,"0",29.12,37.04,8.500372,"0","0"
2015-02-09,"2",224,547,"1",25.16,29.12,10.961006,"0","1"
2015-02-10,"3",207,571,"1",26.24,39.92,10.513618,"0","1"
2015-02-11,"4",230,610,"0",22.1,33.98,6.487126,"0","1"
2015-02-12,"5",237,526,"0",16.16,39.92,7.381902,"1","1"
