"","date","felonies","day_of_week","temp_min_degF","any_precip","is_warm","is_holiday","is_school_day"
"1",2015-01-01,389,"5",27.14,"0","0","1","0"
"2",2015-01-02,257,"6",35.06,"0","0","0","0"
"3",2015-01-03,263,"7",33.08,"1","0","0","0"
"4",2015-01-04,227,"1",41,"1","0","0","0"
"5",2015-01-05,275,"2",21.2,"0","0","0","1"
"185",2015-07-04,262,"7",69.08,"0","1","1","0"
"186",2015-07-05,291,"1",68,"0","1","0","0"
"187",2015-07-06,260,"2",71.96,"0","1","0","0"
"188",2015-07-07,309,"3",75.02,"1","1","0","0"
"189",2015-07-08,276,"4",77,"0","1","0","0"
"365",2015-12-31,209,"5",42.08,"1","0","0","0"
